Año;Hora_24;Mes;Dia;Mes resumido;dia resumido;Fecha Dia;Semana2;Delito;Total General Año Anterior;Estación Final;CAI Final;Cuadrante Final;Genero Final;Zona Final;Clase Sitio Final;Arma Final;Modalidad Final;Causa Lesion Final;Barrio Hecho Final;Grupo Edad Ley Final
2026;6;Marzo;Domingo;Mar;Dom;1;10;H. Automotores;0;E-Norte;CAI 1;Z. Atención 2 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Santa Clara;Adolescencia (12 a 17 años) 
2026;9;Marzo;Domingo;Mar;Dom;15;12;H. Automotores;0;E-Norte;CAI 3;Z. Atención 11 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;El Recuerdo;Adolescencia (12 a 17 años) 
2026;10;Mayo;Domingo;May;Dom;24;22;H. Automotores;0;E-Norte;CAI 2;Z. Atención 3 Norte;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Villa Del Viento;Adolescencia (12 a 17 años) 
2026;11;Junio;Domingo;Jun;Dom;7;24;H. Automotores;0;E-Sur;CAI 6;Z. Atención 7 Sur;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Vda Tunel Bajo;Infancia (0 a 11 años)
2025;15;Noviembre;Viernes;Nov;Vie;21;47;H. Automotores;1;E-Sur;CAI 8;Z. Atención 18 Sur;Femenino;Urbano;Vias Publicas;Sin Empleo de Armas;Factor De Oportunidad;No Reportado;Jose Maria Obando;Infancia (0 a 11 años)
2026;9;Febrero;Viernes;Feb;Vie;6;6;H. Automotores;0;E-Norte;CAI 2;Z. Atención 7 Norte;Masculino;Urbano;Callejón;Arma de Fuego;Atraco;No Reportado;La Paz;Infancia (0 a 11 años)
2025;9;Junio;Domingo;Jun;Dom;15;25;H. Automotores;1;E-Norte;CAI 3;Z. Atención 9 Norte;Masculino;Urbano;Parques;Sin Empleo de Armas;Halado;No Reportado;Palace;Adolescencia (12 a 17 años) 
2025;6;Agosto;Sábado;Ago;Sáb;2;31;H. Automotores;1;E-Sur;CAI 8;Z. Atención 18 Sur;Masculino;Urbano;Carretera;Llave Maestra;Halado;No Reportado;El Libertador;Infancia (0 a 11 años)
2025;9;Octubre;Jueves;Oct;Jue;16;42;H. Automotores;1;E-Sur;CAI 7;Z. Atención 14 Sur;Masculino;Urbano;Frente A Almacen - Via Publica;Sin Empleo de Armas;Halado;No Reportado;San Jose;Adolescencia (12 a 17 años) 
2025;9;Marzo;Martes;Mar;Mar;25;13;H. Automotores;1;E-Norte;CAI 4;Z. Atención 13 Norte;Masculino;Urbano;Frente A Residencias - Via Publica;Llave Maestra;Halado;No Reportado;Vasquez Cobo;Adolescencia (12 a 17 años) 
2025;13;Noviembre;Jueves;Nov;Jue;27;48;H. Automotores;1;E-Sur;CAI 8;Z. Atención 16 Sur;Femenino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;La Esmeralda;Adolescencia (12 a 17 años) 
2025;15;Marzo;Jueves;Mar;Jue;6;10;H. Automotores;1;E-Norte;CAI 4;Z. Atención 15 Norte;Femenino;Urbano;Vias Publicas;Sin Empleo de Armas;Engaño;No Reportado;Santa Teresita;Adolescencia (12 a 17 años) 
2025;0;Febrero;Domingo;Feb;Dom;23;9;H. Automotores;1;E-Sotara;No Reportado;E-Sotara;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda El Boqueron;Infancia (0 a 11 años)
2025;3;Junio;Domingo;Jun;Dom;1;23;H. Automotores;1;E-Sur;CAI 5;Z. Atención 2 Sur;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Los Sauces;Adolescencia (12 a 17 años) 
2025;3;Diciembre;Domingo;Dic;Dom;21;52;H. Automotores;1;E-Norte;CAI 2;Z. Atención 6 Norte;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Rio Blanco Zona Norte;Adolescencia (12 a 17 años) 
2025;5;Julio;Domingo;Jul;Dom;6;28;H. Automotores;1;E-Sur;CAI 7;Z. Atención 12 Sur;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Villa Garcia;Infancia (0 a 11 años)
2025;0;Enero;Domingo;Ene;Dom;19;4;H. Automotores;1;E-Norte;CAI 1;Z. Atención 2 Norte;Masculino;Urbano;Vias Publicas;Contundentes;Atraco;No Reportado;Santa Clara;Adolescencia (12 a 17 años) 
